Stage,Provider,Model,Operation,Units,Cost kind,USD,Status,Cached
direction_tts,elevenlabs,eleven_multilingual_v2,synthesize,87 characters,estimated,0.026100,success,false
direction_tts,elevenlabs,eleven_multilingual_v2,synthesize,55 characters,estimated,0.016500,success,false
direction_tts,elevenlabs,eleven_multilingual_v2,synthesize,53 characters,estimated,0.015900,success,false
direction_tts,elevenlabs,eleven_multilingual_v2,synthesize,49 characters,estimated,0.014700,success,false
direction_tts,elevenlabs,eleven_multilingual_v2,synthesize,49 characters,estimated,0.014700,success,false
direction_tts,elevenlabs,eleven_multilingual_v2,synthesize,47 characters,estimated,0.014100,success,false
direction_tts,elevenlabs,eleven_multilingual_v2,synthesize,46 characters,estimated,0.013800,success,false
direction_tts,elevenlabs,eleven_multilingual_v2,synthesize,46 characters,estimated,0.013800,success,false
research_assets,tavily,,search,1 queries,estimated,0.010000,success,false
research_assets,tavily,,search,1 queries,estimated,0.010000,success,false
research_assets,tavily,,search,1 queries,estimated,0.010000,success,false
research_assets,tavily,,search,1 queries,estimated,0.010000,success,false
image_validation,tavily,,search,1 queries,estimated,0.010000,success,false
image_validation,tavily,,search,1 queries,estimated,0.010000,success,false
image_validation,openrouter,openai/gpt-image-1-mini,image_generation,1 images,actual,0.009108,success,false
image_validation,openrouter,openai/gpt-image-1-mini,image_generation,1 images,actual,0.009088,success,false
direction_tts,openrouter,deepseek/deepseek-v4-pro-20260423,chat_completion,3340 tokens,actual,0.008785,success,false
direction_tts,openrouter,deepseek/deepseek-v4-pro-20260423,chat_completion,1269 tokens,actual,0.002511,success,false
script_verification,openrouter,deepseek/deepseek-v4-pro-20260423,chat_completion,1223 tokens,actual,0.002170,success,false
image_brief,openrouter,deepseek/deepseek-v4-flash-20260423,chat_completion,1966 tokens,actual,0.000465,success,false
direction_tts,openrouter,mistralai/mistral-small-3.2-24b-instruct-2506,chat_completion,2205 tokens,actual,0.000317,success,false
direction_tts,openrouter,deepseek/deepseek-v4-flash-20260423,chat_completion,2082 tokens,actual,0.000276,success,false
topic,openrouter,deepseek/deepseek-v4-flash-20260423,chat_completion,1238 tokens,actual,0.000266,success,false
research_assets,openrouter,mistralai/mistral-small-3.2-24b-instruct-2506,chat_completion,1751 tokens,actual,0.000229,success,false
direction_tts,openrouter,deepseek/deepseek-v4-flash-20260423,chat_completion,2089 tokens,actual,0.000200,success,false
image_validation,openrouter,google/gemini-2.5-flash-lite,vision_completion,1625 tokens,actual,0.000190,success,false
image_validation,openrouter,google/gemini-2.5-flash-lite,vision_completion,1615 tokens,actual,0.000189,success,false
image_validation,openrouter,google/gemini-2.5-flash-lite,vision_completion,1090 tokens,actual,0.000137,success,false
image_validation,remote,,image_download,1 downloads,estimated,0.000000,success,false
image_validation,remote,,image_download,1 downloads,estimated,0.000000,success,false
image_validation,remote,,image_download,1 downloads,estimated,0.000000,success,false
image_validation,remote,,image_download,1 downloads,estimated,0.000000,success,false
image_validation,remote,,image_download,1 downloads,estimated,0.000000,success,false
image_validation,remote,,image_download,1 downloads,estimated,0.000000,success,false
compiled,local,,sfx_generation,0 calls,estimated,0.000000,success,false
render,local,,render,0 calls,estimated,0.000000,success,false
